,code,title,pointsR1,pointsR2
574,GA482,QuantitySurveyingandConstructionEconomics,304.0,
575,GA483,ArchitecturalTechnology,281.0,273.0
576,GA484,CivilEngineering,377.0,
577,GA580,SoftwareandElectronicEngineering,300.0,
578,GA680,MechanicalEngineering,400.0,
579,GA681,EnergyEngineering,312.0,
580,GA682,BiomedicalEngineering,331.0,
581,GA683,AgriculturalEngineering,304.0,
582,GA684,EngineeringCommonEntrytoManu/Agri/Biomed/Energ,413.0,
583,GA685,ManufacturingEngineeringDesign,336.0,
584,GA780,AppliedFreshwaterandMarineBiology,366.0,
585,GA781,AppliedBiologyandBiopharmaceuticalScience,381.0,
586,GA782,ChemicalandPharmaceuticalScience,356.0,
587,GA783,PhysicsandInstrumentation,301.0,
588,GA784,Science(Undenominated),445.0,
589,GA785,MedicalScience,517.0,510.0
590,GA786,ForensicScienceandAnalysis,408.0,
591,GA787,ComputinginSoftwareDevelopment,310.0,
592,GA788,ComputingandDigitalMedia,270.0,
593,GA789,AgricultureandEnvironmentalManagement,340.0,
594,GA790,SportandExerciseScience,376.0,366.0
595,GA791,PublicHealthNutrition,368.0,
596,GA880,GeneralNursing,440.0,
597,GA882,PsychiatricNursing,369.0,
598,GA885,OutdoorEducation,269.0,
599,GA887,HistoryandGeography,201.0,
600,GA889,AppliedSocialCare,265.0,
601,GA890,EarlyChildhoodEducationandCare,281.0,227.0
602,GA891,GeographyandOutdoorEducation,261.0,
603,GA892,CommunityDevelopmentandYouthWork(Level8),,
604,GA980,Education(DesignGraphicsandConstruction),410.0,
605,GA981,FurnitureDesignandManufacture,346.0,
606,GA982,FurnitureMakingandArchitecturalWoodworking,360.0,
607,GA983,FurnitureandDigitalManufacturing,,
608,GA984,FurnitureDesignMakingandTechnology-CommonE,486.0,467.0
609,GY101,Arts(Joint-Honours),327.0,326.0
610,GY104,BSc(Psychology),564.0,555.0
611,GY105,Arts(History),357.0,
612,GY109,Arts(MathematicsandEducation),413.0,
613,GY110,Arts(ChildrenandYouthStudies-options),387.0,
614,GY111,Arts(EnglishandCreativeWriting),421.0,420.0
615,GY113,ArtswithHumanRights,413.0,
616,GY115,ArtswithPerformingArtsStudies,300.0,
617,GY118,Arts(DramaTheatreandPerformanceStudies),453.0,430.0
618,GY119,Arts(Journalism),484.0,473.0
619,GY122,NaDána(CumarsáidagusGaeilge),410.0,
620,GY123,AppliedSocialSciences,419.0,
621,GY125,Arts(DigitalArtsandTechnology),403.0,
622,GY127,Arts(FilmandDigitalMedia),430.0,421.0
623,GY128,Arts(GlobalLanguages),346.0,
624,GY129,Arts(GlobalExperience),465.0,
625,GY130,Arts(Music),462.0,
626,GY132,Government(PoliticsEconomicsandLaw),465.0,451.0
627,GY133,Education(ComputerScienceandMathematicalStudi,454.0,
628,GY134,GeographyandGeosystems,425.0,
629,GY135,Arts(GlobalMedia),442.0,
630,GY136,NaDána(LéannTeanga-options),526.0,
631,GY201,Commerce,476.0,
632,GY202,Commerce(International)withFrench,520.0,
633,GY203,Commerce(International)withGerman,518.0,
634,GY204,Commerce(International)withSpanish,506.0,
635,GY206,BusinessInformationSystems(WorkPlacementandO,509.0,
636,GY207,Commerce(Accounting)includingoptionalGlobalEx,543.0,
637,GY208,Commerce(Gaeilge),508.0,
638,GY209,Commerce(GlobalExperience),551.0,
639,GY250,LawandBusiness,510.0,
640,GY251,Law(BCL),542.0,
641,GY252,Law(BCL)andHumanRights,565.0,
642,GY253,LawandTaxation,506.0,
643,GY254,Law(BCL)CriminologyandCriminalJustice,548.0,
644,GY261,BusinessStudiesinInternationalHotelManagement,503.0,
645,GY262,CommerceinInternationalHotelManagement(interv,709.0,
646,GY301,Science,489.0,488.0
647,GY303,BiomedicalScience,613.0,
648,GY304,Biotechnology,498.0,495.0
649,GY308,EnvironmentalScience,431.0,430.0
650,GY309,FinancialMathematicsandEconomics,509.0,
651,GY310,MarineScience,467.0,
652,GY313,EnvironmentalHealthandSafety,412.0,
653,GY314,EarthandOceanSciences,422.0,
654,GY318,BiopharmaceuticalChemistry,555.0,
655,GY319,MathematicalScience,543.0,
656,GY320,Physics(Degreeoptions:AppliedAstrophysicsBiom,465.0,
657,GY321,GeneticsandGenomics,532.0,
658,GY322,AgriculturalSciences,485.0,
659,GY350,ComputerScienceandInformationTechnology,495.0,
660,GY401,Engineering(Undenominated),522.0,520.0
661,GY402,CivilEngineering,533.0,521.0
662,GY405,MechanicalEngineering,541.0,
663,GY406,ElectronicandComputerEngineering,555.0,
664,GY408,BiomedicalEngineering,554.0,
665,GY410,ProjectandConstructionManagement,431.0,
666,GY413,EnergySystemsEngineering,509.0,
667,GY414,ElectricalandElectronicEngineering,433.0,
668,GY501,Medicine(fiveyear/sixyearcourseHPATrequired,737.0,737.0
669,GY502,OccupationalTherapy,601.0,
670,GY503,SpeechandLanguageTherapy,578.0,
671,GY504,PodiatricMedicine,531.0,526.0
672,GY515,GeneralNursing(GalwayandPortiuncula),502.0,496.0
673,GY516,MentalHealthNursing,475.0,441.0
674,GY517,Midwifery,520.0,509.0
675,LY108,Business-Accounting,312.0,
676,LY118,Business,288.0,
677,LY128,MarketingwithOnlineTechnologies,261.0,261.0
678,LY208,Law,300.0,290.0
679,LY228,SportsandExercise-CommonEntry,290.0,
680,LY408,Design-CommonEntry,301.0,
681,LY508,FireSafetyEngineering,283.0,
682,LY518,QuantitySurveying,304.0,
683,LY528,ConstructionManagement,262.0,
684,LY538,ArchitecturalTechnology,234.0,234.0
685,LY608,MechanicalEngineering,300.0,
686,LY618,ElectronicEngineering,321.0,
687,LY708,AppliedComputing,320.0,
688,LY748,ComputerScience,316.0,
689,LY818,Science-CommonEntry,302.0,
690,LY828,Agriculture-CommonEntry,308.0,300.0
691,LY908,GeneralNursing,429.0,
692,LY918,PsychiatricNursing,367.0,
693,LY928,IntellectualDisabilityNursing,357.0,
694,LY968,EarlyChildhoodCareHealthandEducation,288.0,
695,LY978,HealthandSocialCare-CommonEntry,279.0,
696,MI001,ContemporaryandAppliedTheatreStudies,209.0,
697,MI002,Arts,280.0,
698,MI004,Education-PrimaryTeaching-International,589.0,
699,MI005,Education-PrimaryTeaching,522.0,
700,MI006,Education-PrimaryTeaching-GaeltachtApplicant,485.0,
701,MI007,EarlyChildhoodCareandEducation,409.0,
702,MI008,EducationandPsychology-PrimaryTeaching,590.0,
703,MI009,EducationBusinessStudiesandAccounting,434.0,
704,MI010,EducationBusinessStudiesandReligiousStudies,370.0,
705,MI011,EducationGaeilgeandReligiousStudies,407.0,
706,MI012,EducationGaeilgeandBusinessStudies,387.0,
707,MI013,EducationMathematicsandGaeilge,509.0,
708,MI014,EducationMathematicsandBusinessStudies,476.0,
709,CI110,CounsellingandPsychotherapy,292.0,
710,CI111,CounsellingandPsychotherapywithAddictionStudi,290.0,
711,CI112,CounsellingandPsychotherapywithYouthStudies,325.0,
712,LC110,ArtandDesign(CommonEntryportfolio),794.0,
713,LC114,FashionandTextilesforProductandCostume(port,914.0,
714,LC115,ArtandDesignTeacherEducation(LITandULport,993.0,
715,LC220,DigitalMarketing,263.0,
716,LC223,LawandTaxation,331.0,
717,LC224,AccountingandFinance,300.0,
718,LC225,MarketingandManagement,298.0,
719,LC226,EnterpriseandInnovation,255.0,
720,LC233,SoftwareDevelopment,280.0,
721,LC234,ImmersiveDigitalMediaandSpatialComputing,226.0,
722,LC236,InternetSystemsDevelopment,260.0,
723,LC239,ComputerNetworksandSystemsManagement,317.0,
724,LC241,ConstructionManagement,326.0,
725,LC242,PropertyValuationandManagement,308.0,
726,LC243,QuantitySurveying,278.0,
727,LC248,BuiltEnvironment(CommonEntry),300.0,
728,LC252,CivilEngineeringManagement,264.0,
729,LC263,MedicalTechnology,391.0,
730,LC265,ForensicandPharmaceuticalSciences,498.0,
731,LC266,DrugandMedicinalProductAnalysis,252.0,
732,LC275,ElectricalEngineering,361.0,347.0
733,LC288,MechanicalEngineering,378.0,369.0
734,LC289,PrecisionEngineering,261.0,
735,LC292,SocialCareWork,374.0,
736,LC293,BusinessStudieswithTravelandTourismManagemen,271.0,264.0
737,LC294,BusinessStudieswithEventManagement,279.0,
738,LC295,BusinessStudieswithSportsManagement,262.0,
739,LC297,CommunityandAddictionStudies,272.0,262.0
740,LC320,Business,381.0,
741,LC330,BusinesswithComputing,328.0,308.0
742,LC340,InteriorDesign,391.0,368.0
743,LC362,BiotechnologyandBiopharmaceuticalSciences,429.0,
744,LC371,CreativeBroadcastandFilmProduction,325.0,310.0
745,LC372,MusicTechnologyandProduction,377.0,
746,LC374,RenewableandElectricalEnergyEngineering,337.0,319.0
747,LC375,IndustrialAutomationandRoboticSystems,309.0,
748,LC376,ElectronicEngineeringwithComputerSystems,357.0,
749,LC380,AutomotiveEngineeringandTransportManagement,298.0,
750,LC392,BusinessStudiesinBeautyandSpaManagement,328.0,317.0
751,LC393,EarlyChildhoodEducationandCare,309.0,276.0
752,LC402,SocialCareWork,228.0,
753,LC408,EnvironmentalScienceandClimate,279.0,
754,LC416,Business,260.0,
755,LC418,Computing-GamesDesignandDevelopment,260.0,256.0
756,LC422,AppliedStrengthandConditioning,289.0,
757,LC502,GameArtandDesign(portfolio),841.0,
758,LC517,CreativeMediaandDesign,279.0,
759,LC518,DigitalAnimationProduction(portfolio),807.0,
760,LC612,SocialCareWork,309.0,
761,LM002,Arts,360.0,360.0
762,LM019,SocialSciences,451.0,
763,LM020,LawandAccounting,474.0,
764,LM026,PerformingArts(auditionformatTBC),329.0,
765,LM028,CriminalJustice,420.0,
766,LM029,LawPlus,530.0,
767,LM038,PsychologyandSociology,530.0,
768,LM039,JournalismandDigitalCommunication,432.0,
769,LM040,EuropeanStudies,409.0,
770,LM044,AppliedLanguages,429.0,
771,LM050,BusinessStudies(options),451.0,
772,LM056,InternationalBusiness,555.0,
773,LM058,FinancialMathematics,468.0,
774,LM063,TechnologyManagement,410.0,
775,LM066,EnvironmentalScience,430.0,
776,LM068,FoodScienceandHealth,464.0,
777,LM076,ProductDesignandTechnology(portfoliorequired),401.0,
778,LM077,AeronauticalEngineering,567.0,
779,LM082,ConstructionManagementandEngineering,446.0,
780,LM089,SportandExerciseSciences,498.0,
781,LM090,PhysicalEducationwithconcurrentTeacherEducati,552.0,544.0
782,LM091,LanguageswithconcurrentTeacherEducation,506.0,
783,LM092,SciencewithTeacherEd(BiologywithPhysics/Chem,521.0,
784,LM093,EquineScience,367.0,
785,LM094,MaterialsandArchitecturalTechnologywithconcur,475.0,
786,LM095,MaterialsandEngineeringTechnologywithconcurre,425.0,
787,LM096,SciencewithTeacherEd(PhysicalScienceswithCh,454.0,
788,LM097,MathematicsandComputerSciencewithconcurrentT,465.0,
789,LM099,Architecture,520.0,
790,LM100,Physiotherapy,613.0,
791,LM101,Medicine-GraduateEntry(GAMSATrequired),57.0,
792,LM102,Psychology,534.0,
793,LM103,ParamedicStudies(FullB/ProvisionalC1DriversL,429.0,
794,LM105,ExerciseandHealthFitnessManagement,441.0,
795,LM115,ChemicalandBiochemicalEngineering,476.0,
796,LM116,Engineering(Biomedical/Civil/DesignandManufactu,498.0,
797,LM118,ElectronicandComputerEngineering,445.0,
798,LM121,ComputerScience(ComputerSystems/GamesDev/Cyber,402.0,
799,LM122,CreativeMediaandInteractionDesign(DigitalDes,382.0,
800,LM123,BiologicalandChemicalSc.(Biosci/EnvirSci/Ind,498.0,
801,LM124,Mathematics(MathScience/MathsandPhysics/Econom,455.0,
802,LM125,Physics(AppliedPhysicsorMathematicsandPhysic,489.0,
803,LM150,GeneralNursing,498.0,487.0
804,LM152,MentalHealthNursing,478.0,466.0
805,LM154,IntellectualDisabilityNursing,462.0,443.0
806,LM156,Midwifery,521.0,508.0
807,MU001,TheologyandArts,294.0,294.0
808,MU002,Theology,,
809,MH001,Education-PrimaryTeaching(Froebel),564.0,
810,MH002,Education-PrimaryTeaching-GaeltachtApplicant,,
811,MH003,EarlyChildhood-TeachingandLearning(full-time,381.0,
812,MH101,Arts,338.0,336.0
813,MH103,Music,,
814,MH106,Psychology-3years,554.0,
815,MH107,SocialScience,390.0,
816,MH109,MediaStudies,324.0,
817,MH116,CommunityandYouthWork(Full-Time),,
818,MH201,Science,401.0,400.0
819,MH202,Biotechnology,490.0,489.0
820,MH203,BiologicalandGeographicalSciences,451.0,
821,MH204,PhysicswithAstrophysics,422.0,
822,MH206,TheoreticalPhysicsandMathematics,521.0,
823,MH207,DataScience,444.0,
824,MH208,BiologicalandBiomedicalSciences,543.0,
825,MH209,Psychology(throughScience)-4years,529.0,
826,MH210,PharmaceuticalandBiomedicalChemistry,510.0,
827,MH212,Science|MathsandComputerScience|Mathematics(wi,452.0,443.0
828,MH304,Engineering(Computer/Electronic/Communications),351.0,351.0
829,MH305,ProductDesign,326.0,
830,MH306,RoboticsandIntelligentDevices,362.0,
831,MH401,Finance(options),370.0,
832,MH402,QuantitativeFinance,476.0,
833,MH403,AccountingandFinance,424.0,
834,MH404,Business(options),441.0,
835,MH407,BusinessandAccounting,423.0,
836,MH411,Entrepreneurship,378.0,
837,MH501,LLBLaw-fouryearSingleMajorLawprogramme,507.0,
838,MH502,Law(options),465.0,
839,MH601,ComputerSciencethroughArts(options),381.0,
840,MH602,ComputerSciencethroughScience(options),400.0,
841,MH603,ComputationalThinking,520.0,
842,MH801,EarlyChildhood-TeachingandLearning(part-time,,
843,MH802,CommunityandYouthWork(part-timeinservice),,
844,MH803,LocalStudies/CommunityStudies(part-timeevenin,,
845,AS001,EducationHomeEconomicsandBiology-withconcu,542.0,533.0
846,AS002,EducationHomeEconomicsandReligiousEd-with,464.0,452.0
847,AS003,EducationHomeEconomicsandIrish-withconcurr,463.0,457.0
848,AS051,NutritionFoodandBusinessManagement,378.0,347.0
849,AS054,HomeEconomics,440.0,419.0
850,AS110,GeneralNursing,440.0,432.0
851,AS130,IntellectualDisabilityNursing,387.0,358.0
852,SG141,Business,262.0,
853,SG145,BusinessandICT,279.0,
854,SG146,Accounting,304.0,
855,SG147,SportwithBusiness,288.0,
856,SG148,TourismwithEventManagement,298.0,
857,SG150,BusinessinMarketing,298.0,
858,SG241,PerformingArts,341.0,
859,SG242,EarlyChildhoodCareandEducation,287.0,
860,SG243,SocialCarePractice,309.0,
861,SG244,FineArt,501.0,
862,SG245,CreativeDesign,332.0,
863,SG246,Computing,316.0,
864,SG247,EnglishandPsychology,319.0,
865,SG248,SociologyandPolitics,298.0,
866,SG249,WritingandLiterature,308.0,
867,SG252,SoftwareDevelopment,310.0,
868,SG253,ComputinginComputerNetworksandCyberSecurity,336.0,
869,SG254,WritingandLiteratureOnline,327.0,
870,SG255,LawandBusiness,291.0,
871,SG341,GeneralEngineering,373.0,
872,SG342,CivilEngineering,418.0,
873,SG343,QuantitySurveying,300.0,
874,SG344,MechanicalEngineering,412.0,
875,SG346,ConstructionProjectManagementandAppliedTechno,313.0,
876,SG347,Architecture,403.0,
877,SG348,InteriorArchitectureandDesign,359.0,
878,SG349,ElectronicsandSelfDrivingTechnologies,,
879,SG350,RoboticsandAutomation,384.0,
880,SG442,OccupationalSafetyandHealth,307.0,
881,SG443,HumanNutrition,376.0,
882,SG444,ScienceUndenominated,358.0,
883,SG445,PharmaceuticalSciencewithDrugDevelopment,357.0,
884,SG447,HealthScienceandPhysicalActivity,326.0,
885,SG448,ForensicInvestigationandAnalysis,308.0,
886,SG449,MedicalBiotechnology,315.0,
887,SG450,EnvironmentalSciencewithEcology(Level8),310.0,
888,TL801,AnimationVisualEffectsandMotionDesign(Level,718.0,
889,TL802,TVRadioandNewMedia(Level8),322.0,
890,TL810,ComputingwithSoftwareDevelopment,308.0,
891,TL811,ComputingwithGamesDevelopment,322.0,
892,TL815,Computing(DegreeAwardoptions),307.0,
893,TL823,EventManagement(3yearprogramme),293.0,
894,TL831,BusinessStudies(MajorSpecialismin:AcctngorM,306.0,
895,TL842,ConstructionManagement,,
896,TL844,AgriculturalEngineering,301.0,
897,TL845,CivilEngineering,361.0,
898,TL847,ManufacturingEngineering,305.0,
899,TL848,AgriculturalScience,307.0,
900,TL851,WildlifeBiology(DegreeAwardoptions),309.0,
901,TL855,PharmaceuticalScience(DegreeAwardoptions),316.0,
902,TL858,VeterinaryBioscience,317.0,
903,TL871,HealthandLeisure(DegreeAwardoptions),303.0,
904,TL872,HealthandLeisurewithMassage,314.0,
905,TL873,CoachingandSportsPerformance,308.0,
906,TL874,InclusiveSportandPhysicalActivity,341.0,
907,TL880,EarlyChildhoodCareandEducation,309.0,
908,TL881,SocialCare,301.0,
909,TL889,CounsellingwithAddiction-Matureapplicantsonl,,
910,TL890,GeneralNursingandMatureApplicants,463.0,
911,TL891,MentalHealthNursingandMatureApplicants,440.0,419.0
912,WD001,AppliedComputing(options),270.0,261.0
913,WD002,Science(options),279.0,
914,WD005,HealthSciences(options),271.0,
915,WD006,ExerciseSciences(options),270.0,
916,WD007,Engineering(options),270.0,270.0
917,WD025,ConstructionManagementandEngineering,262.0,
918,WD027,Music,321.0,
919,WD048,Business(options),279.0,
920,WD084,Accounting,308.0,
921,WD091,HospitalityManagement,225.0,
922,WD116,GeneralNursing,446.0,
923,WD117,PsychiatricNursing,415.0,
924,WD120,IntellectualDisabilityNursing,390.0,
925,WD134,InternationalBusiness,267.0,
926,WD137,Design(VisualCommunications),252.0,
927,WD140,Laws,280.0,
928,WD144,Architecture,309.0,
929,WD147,PharmaceuticalScience,288.0,
930,WD150,CriminalJusticeStudies,280.0,
931,WD152,VisualArt,243.0,
932,WD161,ComputerForensicsandSecurity,270.0,
933,WD162,QuantitySurveying,226.0,
934,WD163,Psychology,456.0,
935,WD186,SportsCoachingandPerformance,261.0,
936,WD187,SocialScience,276.0,
937,WD191,AgriculturalScience,377.0,
938,WD192,SocialCarePractice,271.0,
939,WD193,MarketingandDigitalMedia,279.0,
940,WD194,CulinaryArts,237.0,
941,WD195,ArchitecturalandBuildingInformationModellingT,279.0,
942,WD200,Arts(options),201.0,201.0
943,WD210,SoftwareSystemsDevelopment,260.0,
944,WD211,CreativeComputing,270.0,
945,WD212,RecreationandSportManagement,262.0,
946,WD230,MechanicalandManufacturingEngineering,230.0,230.0
947,WD231,EarlyChildhoodCareandEducation,266.0,
948,WD232,BusinessInformationSystems,261.0,261.0
